Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
NaN;NaN;1;Deepak Singh;NaN;2020;10;1;Artificial-Intelligence;6;0;0;https://medium.com/@deepaksingh-rv/bias-is-now-expanding-its-reign-from-humans-to-machines-the-ai-bias-734d9f4901a4?source=tag_archive---------62-----------------------;https://medium.com/@deepaksingh-rv?source=tag_archive---------62-----------------------
Ideas For Building Patient-Centric Approach In AI Healthcare;NaN;1;Dr. Monica;CARRE4;2020;10;1;Artificial-Intelligence;3;246;0;https://medium.com/carre4/ideas-for-building-patient-centric-approach-in-ai-healthcare-13e328718499?source=tag_archive---------63-----------------------;https://medium.com/@monicamundada5?source=tag_archive---------63-----------------------
Sisi Lain Sosial Media;Google, Facebook;1;rizqy a r;NaN;2020;10;1;Artificial-Intelligence;2;343;0;https://medium.com/@rizqyananda.rusmana/sisi-lain-sosial-media-4b1842b3bdad?source=tag_archive---------64-----------------------;https://medium.com/@rizqyananda.rusmana?source=tag_archive---------64-----------------------
How Our robot works?;Introduction;1;Netcoincapital Official;NaN;2020;10;1;Artificial-Intelligence;11;12;0;https://medium.com/@netcoincapital.company/how-our-robot-works-6efa63d5f627?source=tag_archive---------65-----------------------;https://medium.com/@netcoincapital.company?source=tag_archive---------65-----------------------
NaN;NaN;1;Deepak Singh;NaN;2020;10;1;Artificial-Intelligence;4;0;0;https://medium.com/@deepaksingh-rv/lets-talk-about-ai-hardware-the-horsepower-behind-ai-advancements-999267ef1663?source=tag_archive---------66-----------------------;https://medium.com/@deepaksingh-rv?source=tag_archive---------66-----------------------
The future in which I am going to be investigating is Artificial Intelligence (A.I.),;Personally, I am interested in this topic because A.I. is the future. Jobs are going to be backed up or even replaced;0;Nikita Verma;The Future of Artificial Intelligence;2020;10;1;Artificial-Intelligence;2;0;0;https://medium.com/the-future-of-artificial-intelligence/the-future-in-which-i-am-going-to-be-investigating-is-artificial-intelligence-a-i-db1aeb1fb185?source=tag_archive---------67-----------------------;https://medium.com/@nikitave?source=tag_archive---------67-----------------------
Common Sense Programs;NaN;1;Jordan Schall;NaN;2020;10;1;Artificial-Intelligence;3;1;0;https://medium.com/@jordan.m.schall/common-sense-programs-967ccab90a72?source=tag_archive---------68-----------------------;https://medium.com/@jordan.m.schall?source=tag_archive---------68-----------------------
Algorithms in Machine Learning;A wide scopebut not comprehensiveguide to algorithms.;1;Tenzin Migmar;NaN;2020;10;1;Artificial-Intelligence;8;30;0;https://medium.com/@tenzin.migmarr/algorithms-in-machine-learning-aec39d812f1a?source=tag_archive---------69-----------------------;https://medium.com/@tenzin.migmarr?source=tag_archive---------69-----------------------
Wrannaman0.1.10;Im writing an open source sci-fi novel. You can follow along here or https://wrannaman.com;1;wrannaman;NaN;2020;10;1;Artificial-Intelligence;9;0;0;https://medium.com/@AndrewPierno/wrannaman-0-1-10-8c7d5ea432ce?source=tag_archive---------70-----------------------;https://medium.com/@AndrewPierno?source=tag_archive---------70-----------------------
The future of Artificial Intelligence;Have your ever binge eat and binge watch in the middle of the night knowing that you have;1;Zihua wu;AI Symbiosis;2020;10;1;Artificial-Intelligence;3;0;0;https://medium.com/ai-combine-w-human/the-future-of-artificial-intelligence-ab829155579?source=tag_archive---------71-----------------------;https://medium.com/@zihuawu-42226?source=tag_archive---------71-----------------------
The AI Box Experiment;What happens when we create an Artificial Superintelligence (ASI)? Many great thinkers have warned us of the danger of;1;Hein de Haan;The Singularity;2020;10;1;Artificial-Intelligence;1;2;0;https://medium.com/the-singularity/the-ai-box-experiment-2523508c7a63?source=tag_archive---------72-----------------------;https://medium.com/@heindehaan?source=tag_archive---------72-----------------------
Jornalista Marcia Lameu, mjornalista;YouTUBE;1;mjornalista;NaN;2020;10;1;Artificial-Intelligence;3;0;0;https://medium.com/@mjornalista/jornalista-marcia-lameu-mjornalista-c0ee0b7f86b8?source=tag_archive---------73-----------------------;https://medium.com/@mjornalista?source=tag_archive---------73-----------------------
NaN;Pied Piper Artificial Intelligence Journal;1;The Taco Talks;NaN;2020;10;1;Artificial-Intelligence;6;0;0;https://medium.com/@tacothecatemily/pied-piper-artificial-intelligence-journal-2891177617f9?source=tag_archive---------74-----------------------;https://medium.com/@tacothecatemily?source=tag_archive---------74-----------------------
4 Ways AI is Revolutionizing Process of Fintech Firms;NaN;1;Techtic Solutions;An Ideaby Ingenious Piece);2020;10;1;Artificial-Intelligence;4;50;0;https://medium.com/an-idea/4-ways-ai-is-revolutionizing-process-of-fintech-firms-183d2d2890d5?source=tag_archive---------75-----------------------;https://medium.com/@techticsolutionsinc?source=tag_archive---------75-----------------------
To Control Dangerous New Technologies, Congress Needs Help;Truthout.org;0;Peter Montague;The Bold ReThink;2020;10;1;Artificial-Intelligence;6;1;0;https://medium.com/the-bold-rethink/to-control-dangerous-new-technologies-congress-needs-help-d13ce17da41c?source=tag_archive---------76-----------------------;https://medium.com/@petergmontague?source=tag_archive---------76-----------------------
Getting Started with Neural Networks;A brief introduction to Artificial Neural Networks;1;Sanchit Gupta;NaN;2020;10;1;Artificial-Intelligence;4;0;0;https://medium.com/@gupta.sanchit/getting-started-with-neural-networks-9b19d91fc060?source=tag_archive---------77-----------------------;https://medium.com/@gupta.sanchit?source=tag_archive---------77-----------------------
Does the future really look so dark for software developers?;NaN;1;Shuvo Ahmed;NaN;2020;10;1;Artificial-Intelligence;3;0;0;https://medium.com/@randyorton23102002/what-do-we-think-about-a-software-developer-26f4c5f5db54?source=tag_archive---------78-----------------------;https://medium.com/@randyorton23102002?source=tag_archive---------78-----------------------
How to resolve the Alexa Device Error 10:2:12:3:1;NaN;1;Henrik Jadeja;Smart Devices Tech;2020;10;1;Artificial-Intelligence;3;1;0;https://medium.com/smart-devices-tech/how-to-resolve-the-alexa-device-error-10-2-12-3-1-62203458464f?source=tag_archive---------79-----------------------;https://medium.com/@henrikjadeja?source=tag_archive---------79-----------------------
